group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
bad,0.1,17,0.7192,0.0040000000000000036,7192,2808,0
bad,0.2,34,0.7197,0.0045000000000000595,7197,2803,0
bad,0.3,51,0.7166,0.0014000000000000679,7166,2834,0
bad,0.4,68,0.7128,-0.0023999999999999577,7128,2872,0
bad,0.5,84,0.708,-0.007199999999999984,7080,2920,0
bad,0.6,101,0.7058,-0.009399999999999964,7058,2942,0
bad,0.7,118,0.707,-0.008199999999999985,7070,2930,0
bad,0.8,135,0.7031,-0.0121,7031,2969,0
bad,0.9,152,0.6827,-0.03249999999999997,6827,3173,0
bad,1.0,168,0.6769,-0.0383,6769,3231,0
