group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
good,0.1,196,0.7246,0.010700000000000043,7246,2754,0
good,0.2,391,0.7268,0.012900000000000023,7268,2732,0
good,0.3,587,0.7284,0.014500000000000068,7284,2716,0
good,0.4,782,0.7355,0.021600000000000064,7355,2645,0
good,0.5,978,0.7343,0.020399999999999974,7343,2657,0
good,0.6,1173,0.7383,0.024399999999999977,7383,2617,0
good,0.7,1369,0.7393,0.025399999999999978,7393,2607,0
good,0.8,1564,0.7404,0.026499999999999968,7404,2596,0
good,0.9,1760,0.7316,0.01770000000000005,7316,2684,0
good,1.0,1955,0.7311,0.017199999999999993,7311,2689,0
