group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
iou_ranked,0.1,205,0.7288,0.013600000000000056,7288,2712,0
iou_ranked,0.2,410,0.7415,0.0263000000000001,7415,2585,0
iou_ranked,0.3,615,0.7587,0.043500000000000094,7587,2413,0
iou_ranked,0.4,820,0.758,0.04280000000000006,7580,2420,0
iou_ranked,0.5,1024,0.7553,0.040100000000000025,7553,2447,0
iou_ranked,0.6,1229,0.7557,0.04050000000000009,7557,2443,0
iou_ranked,0.7,1434,0.7569,0.04170000000000007,7569,2431,0
iou_ranked,0.8,1639,0.7612,0.04600000000000004,7612,2388,0
iou_ranked,0.9,1844,0.7512,0.03600000000000003,7512,2488,0
iou_ranked,1.0,2048,0.6453,-0.06989999999999996,6453,3547,0
