group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
bad,0.1,2,0.8713,0.0032999999999999696,8713,1287,0
bad,0.2,3,0.8717,0.0037000000000000366,8717,1283,0
bad,0.3,5,0.8712,0.0031999999999999806,8712,1288,0
bad,0.4,6,0.8687,0.0007000000000000339,8687,1313,0
bad,0.5,8,0.8691,0.0010999999999999899,8691,1309,0
bad,0.6,9,0.8665,-0.0014999999999999458,8665,1335,0
bad,0.7,11,0.867,-0.0010000000000000009,8670,1330,0
bad,0.8,12,0.8658,-0.0021999999999999797,8658,1342,0
bad,0.9,14,0.8682,0.00019999999999997797,8682,1318,0
bad,1.0,15,0.8681,9.999999999998899e-05,8681,1319,0
