group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
good,0.1,204,0.8734,0.00539999999999996,8734,1266,0
good,0.2,407,0.8718,0.0038000000000000256,8718,1282,0
good,0.3,610,0.8699,0.0019000000000000128,8699,1301,0
good,0.4,814,0.8248,-0.043200000000000016,8248,1752,0
good,0.5,1017,0.7252,-0.14280000000000004,7252,2748,0
good,0.6,1220,0.7075,-0.16049999999999998,7075,2925,0
good,0.7,1424,0.6407,-0.22729999999999995,6407,3593,0
good,0.8,1627,0.6225,-0.24549999999999994,6225,3775,0
good,0.9,1830,0.506,-0.362,5060,4940,0
good,1.0,2033,0.4395,-0.4285,4395,5605,0
