group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
iou_ranked,0.1,205,0.8738,0.005600000000000049,8738,1262,0
iou_ranked,0.2,410,0.8706,0.0024000000000000687,8706,1294,0
iou_ranked,0.3,615,0.8755,0.007299999999999973,8755,1245,0
iou_ranked,0.4,820,0.8814,0.01319999999999999,8814,1186,0
iou_ranked,0.5,1024,0.8811,0.012900000000000023,8811,1189,0
iou_ranked,0.6,1229,0.8766,0.008400000000000074,8766,1234,0
iou_ranked,0.7,1434,0.8739,0.005700000000000038,8739,1261,0
iou_ranked,0.8,1639,0.8652,-0.0030000000000000027,8652,1348,0
iou_ranked,0.9,1844,0.861,-0.007199999999999984,8610,1390,0
iou_ranked,1.0,2048,0.8602,-0.008000000000000007,8602,1398,0
