group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
bad,0.1,22,0.4846,0.0016999999999999793,4846,5154,0
bad,0.2,44,0.4848,0.0019000000000000128,4848,5152,0
bad,0.3,65,0.4812,-0.0016999999999999793,4812,5188,0
bad,0.4,87,0.4795,-0.003400000000000014,4795,5205,0
bad,0.5,108,0.4782,-0.004699999999999982,4782,5218,0
bad,0.6,130,0.4828,-9.999999999998899e-05,4828,5172,0
bad,0.7,152,0.4833,0.00040000000000001146,4833,5167,0
bad,0.8,173,0.4802,-0.00269999999999998,4802,5198,0
bad,0.9,195,0.4713,-0.0116,4713,5287,0
bad,1.0,216,0.4749,-0.008000000000000007,4749,5251,0
