group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
good,0.1,184,0.4808,-0.0020999999999999908,4808,5192,0
good,0.2,367,0.487,0.0040999999999999925,4870,5130,0
good,0.3,550,0.4873,0.004400000000000015,4873,5127,0
good,0.4,733,0.4853,0.0024000000000000132,4853,5147,0
good,0.5,916,0.4868,0.0039000000000000146,4868,5132,0
good,0.6,1100,0.486,0.0030999999999999917,4860,5140,0
good,0.7,1283,0.487,0.0040999999999999925,4870,5130,0
good,0.8,1466,0.4881,0.005199999999999982,4881,5119,0
good,0.9,1649,0.4882,0.005300000000000027,4882,5118,0
good,1.0,1832,0.4882,0.005300000000000027,4882,5118,0
