group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
iou_ranked,0.1,205,0.4839,0.0010999999999999899,4839,5161,0
iou_ranked,0.2,410,0.4835,0.0006999999999999784,4835,5165,0
iou_ranked,0.3,615,0.4783,-0.004500000000000004,4783,5217,0
iou_ranked,0.4,820,0.4645,-0.018299999999999983,4645,5355,0
iou_ranked,0.5,1024,0.4733,-0.009500000000000008,4733,5267,0
iou_ranked,0.6,1229,0.4679,-0.014900000000000024,4679,5321,0
iou_ranked,0.7,1434,0.4718,-0.01100000000000001,4718,5282,0
iou_ranked,0.8,1639,0.4684,-0.014400000000000024,4684,5316,0
iou_ranked,0.9,1844,0.4371,-0.04570000000000002,4371,5629,0
iou_ranked,1.0,2048,0.3499,-0.13290000000000002,3499,6501,0
