group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
bad,0.1,3,0.4898,0.009000000000000008,4898,5102,0
bad,0.2,6,0.493,0.012199999999999989,4930,5070,0
bad,0.3,8,0.5013,0.020499999999999963,5013,4987,0
bad,0.4,11,0.4904,0.009599999999999997,4904,5096,0
bad,0.5,13,0.4843,0.003500000000000003,4843,5157,0
bad,0.6,16,0.4845,0.003699999999999981,4845,5155,0
bad,0.7,19,0.4667,-0.014100000000000001,4667,5333,0
bad,0.8,21,0.4781,-0.00269999999999998,4781,5219,0
bad,0.9,24,0.4698,-0.01100000000000001,4698,5302,0
bad,1.0,26,0.4573,-0.02350000000000002,4573,5427,0
