group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
good,0.1,203,0.5189,0.03820000000000001,5189,4811,0
good,0.2,406,0.477,-0.0037000000000000366,4770,5230,0
good,0.3,609,0.459,-0.021699999999999997,4590,5410,0
good,0.4,812,0.4564,-0.024300000000000044,4564,5436,0
good,0.5,1015,0.3786,-0.10210000000000002,3786,6214,0
good,0.6,1218,0.4502,-0.030500000000000027,4502,5498,0
good,0.7,1421,0.3638,-0.1169,3638,6362,0
good,0.8,1624,0.3506,-0.1301,3506,6494,0
good,0.9,1827,0.3632,-0.1175,3632,6368,0
good,1.0,2030,0.3889,-0.09179999999999999,3889,6111,0
