group,percentile,n_neurons,accuracy,accuracy_delta,success,fail,reject
iou_ranked,0.1,205,0.4864,0.005599999999999994,4864,5136,0
iou_ranked,0.2,410,0.4818,0.0010000000000000009,4818,5182,0
iou_ranked,0.3,615,0.5173,0.03649999999999998,5173,4827,0
iou_ranked,0.4,820,0.501,0.020199999999999996,5010,4990,0
iou_ranked,0.5,1024,0.4924,0.0116,4924,5076,0
iou_ranked,0.6,1229,0.4703,-0.01050000000000001,4703,5297,0
iou_ranked,0.7,1434,0.4087,-0.0721,4087,5913,0
iou_ranked,0.8,1639,0.4128,-0.068,4128,5872,0
iou_ranked,0.9,1844,0.4428,-0.03799999999999998,4428,5572,0
iou_ranked,1.0,2048,0.4254,-0.055400000000000005,4254,5746,0
